Time,Frequency,Action
1,3.20E-02,Cooperation
2,3.20E-02,Cooperation
3,1.60E-02,Cooperation
4,4.00E-02,Cooperation
5,1.28E-01,Cooperation
6,1.26E-01,Cooperation
7,9.80E-02,Cooperation
8,1.44E-01,Cooperation
9,6.00E-03,Cooperation
10,2.00E-03,Cooperation
11,2.00E-03,Cooperation
12,8.00E-03,Cooperation
13,1.20E-02,Cooperation
14,1.00E-01,Cooperation
15,8.60E-02,Cooperation
16,3.00E-02,Cooperation
17,1.00E-02,Cooperation
18,4.00E-03,Cooperation
19,5.82E-01,Cooperation
20,3.68E-01,Cooperation
21,6.78E-01,Cooperation
22,8.62E-01,Cooperation
23,9.48E-01,Cooperation
24,9.82E-01,Cooperation
25,1.00E+00,Cooperation
26,1.00E+00,Cooperation
27,1.00E+00,Cooperation
28,1.00E+00,Cooperation
29,1.00E+00,Cooperation
30,1.00E+00,Cooperation
31,1.00E+00,Cooperation
1,1.18E-01,Exploitation
2,1.18E-01,Exploitation
3,1.08E-01,Exploitation
4,7.40E-02,Exploitation
5,7.40E-02,Exploitation
6,8.00E-02,Exploitation
7,7.00E-02,Exploitation
8,1.40E-01,Exploitation
9,1.48E-01,Exploitation
10,1.44E-01,Exploitation
11,1.38E-01,Exploitation
12,1.42E-01,Exploitation
13,7.60E-02,Exploitation
14,8.00E-02,Exploitation
15,1.10E-01,Exploitation
16,1.20E-01,Exploitation
17,1.44E-01,Exploitation
18,3.00E-02,Exploitation
19,4.00E-02,Exploitation
20,2.60E-02,Exploitation
21,1.40E-02,Exploitation
22,6.00E-03,Exploitation
23,4.00E-03,Exploitation
24,0.00E+00,Exploitation
25,0.00E+00,Exploitation
26,0.00E+00,Exploitation
27,0.00E+00,Exploitation
28,0.00E+00,Exploitation
29,0.00E+00,Exploitation
30,0.00E+00,Exploitation
31,0.00E+00,Exploitation
1,8.50E-01,Lone foraging
2,8.50E-01,Lone foraging
3,8.76E-01,Lone foraging
4,8.86E-01,Lone foraging
5,7.98E-01,Lone foraging
6,7.94E-01,Lone foraging
7,8.32E-01,Lone foraging
8,7.16E-01,Lone foraging
9,8.46E-01,Lone foraging
10,8.54E-01,Lone foraging
11,8.60E-01,Lone foraging
12,8.50E-01,Lone foraging
13,9.12E-01,Lone foraging
14,8.20E-01,Lone foraging
15,8.04E-01,Lone foraging
16,8.50E-01,Lone foraging
17,8.46E-01,Lone foraging
18,9.66E-01,Lone foraging
19,3.78E-01,Lone foraging
20,6.06E-01,Lone foraging
21,3.08E-01,Lone foraging
22,1.32E-01,Lone foraging
23,4.80E-02,Lone foraging
24,1.80E-02,Lone foraging
25,0.00E+00,Lone foraging
26,0.00E+00,Lone foraging
27,0.00E+00,Lone foraging
28,0.00E+00,Lone foraging
29,0.00E+00,Lone foraging
30,0.00E+00,Lone foraging
31,0.00E+00,Lone foraging
