,Frequency,Action,Time
0,0.116,Exploitation,0
1,0.116,Exploitation,1
2,0.084,Exploitation,2
3,0.088,Exploitation,3
4,0.102,Exploitation,4
5,0.134,Exploitation,5
6,0.178,Exploitation,6
7,0.166,Exploitation,7
8,0.174,Exploitation,8
9,0.148,Exploitation,9
10,0.136,Exploitation,10
11,0.188,Exploitation,11
12,0.188,Exploitation,12
13,0.174,Exploitation,13
14,0.18,Exploitation,14
15,0.168,Exploitation,15
16,0.194,Exploitation,16
17,0.21,Exploitation,17
18,0.204,Exploitation,18
19,0.206,Exploitation,19
20,0.194,Exploitation,20
21,0.188,Exploitation,21
22,0.194,Exploitation,22
23,0.194,Exploitation,23
24,0.212,Exploitation,24
25,0.212,Exploitation,25
26,0.206,Exploitation,26
27,0.198,Exploitation,27
28,0.23,Exploitation,28
29,0.216,Exploitation,29
30,0.234,Exploitation,30
31,0.85,Lone foraging,0
32,0.85,Lone foraging,1
33,0.886,Lone foraging,2
34,0.838,Lone foraging,3
35,0.814,Lone foraging,4
36,0.804,Lone foraging,5
37,0.81,Lone foraging,6
38,0.834,Lone foraging,7
39,0.824,Lone foraging,8
40,0.852,Lone foraging,9
41,0.858,Lone foraging,10
42,0.798,Lone foraging,11
43,0.812,Lone foraging,12
44,0.824,Lone foraging,13
45,0.816,Lone foraging,14
46,0.826,Lone foraging,15
47,0.804,Lone foraging,16
48,0.79,Lone foraging,17
49,0.796,Lone foraging,18
50,0.794,Lone foraging,19
51,0.806,Lone foraging,20
52,0.812,Lone foraging,21
53,0.806,Lone foraging,22
54,0.804,Lone foraging,23
55,0.788,Lone foraging,24
56,0.788,Lone foraging,25
57,0.794,Lone foraging,26
58,0.802,Lone foraging,27
59,0.77,Lone foraging,28
60,0.784,Lone foraging,29
61,0.766,Lone foraging,30
62,0.034,Cooperation,0
63,0.034,Cooperation,1
64,0.03,Cooperation,2
65,0.074,Cooperation,3
66,0.084,Cooperation,4
67,0.062,Cooperation,5
68,0.012,Cooperation,6
69,0.0,Cooperation,7
70,0.002,Cooperation,8
71,0.0,Cooperation,9
72,0.006,Cooperation,10
73,0.014,Cooperation,11
74,0.0,Cooperation,12
75,0.002,Cooperation,13
76,0.004,Cooperation,14
77,0.006,Cooperation,15
78,0.002,Cooperation,16
79,0.0,Cooperation,17
80,0.0,Cooperation,18
81,0.0,Cooperation,19
82,0.0,Cooperation,20
83,0.0,Cooperation,21
84,0.0,Cooperation,22
85,0.002,Cooperation,23
86,0.0,Cooperation,24
87,0.0,Cooperation,25
88,0.0,Cooperation,26
89,0.0,Cooperation,27
90,0.0,Cooperation,28
91,0.0,Cooperation,29
92,0.0,Cooperation,30
