,Frequency,Action,Time
0,0.026,Exploitation,0
1,0.026,Exploitation,1
2,0.01,Exploitation,2
3,0.016,Exploitation,3
4,0.008,Exploitation,4
5,0.004,Exploitation,5
6,0.004,Exploitation,6
7,0.004,Exploitation,7
8,0.0,Exploitation,8
9,0.0,Exploitation,9
10,0.0,Exploitation,10
11,0.0,Exploitation,11
12,0.0,Exploitation,12
13,0.0,Exploitation,13
14,0.0,Exploitation,14
15,0.0,Exploitation,15
16,0.0,Exploitation,16
17,0.0,Exploitation,17
18,0.0,Exploitation,18
19,0.0,Exploitation,19
20,0.0,Exploitation,20
21,0.0,Exploitation,21
22,0.0,Exploitation,22
23,0.0,Exploitation,23
24,0.0,Exploitation,24
25,0.0,Exploitation,25
26,0.0,Exploitation,26
27,0.0,Exploitation,27
28,0.0,Exploitation,28
29,0.0,Exploitation,29
30,0.0,Exploitation,30
31,0.274,Lone foraging,0
32,0.274,Lone foraging,1
33,0.336,Lone foraging,2
34,0.05,Lone foraging,3
35,0.142,Lone foraging,4
36,0.05,Lone foraging,5
37,0.002,Lone foraging,6
38,0.004,Lone foraging,7
39,0.006,Lone foraging,8
40,0.0,Lone foraging,9
41,0.0,Lone foraging,10
42,0.0,Lone foraging,11
43,0.0,Lone foraging,12
44,0.0,Lone foraging,13
45,0.0,Lone foraging,14
46,0.0,Lone foraging,15
47,0.0,Lone foraging,16
48,0.0,Lone foraging,17
49,0.0,Lone foraging,18
50,0.0,Lone foraging,19
51,0.0,Lone foraging,20
52,0.0,Lone foraging,21
53,0.0,Lone foraging,22
54,0.0,Lone foraging,23
55,0.0,Lone foraging,24
56,0.0,Lone foraging,25
57,0.0,Lone foraging,26
58,0.0,Lone foraging,27
59,0.0,Lone foraging,28
60,0.0,Lone foraging,29
61,0.0,Lone foraging,30
62,0.7,Cooperation,0
63,0.7,Cooperation,1
64,0.654,Cooperation,2
65,0.934,Cooperation,3
66,0.85,Cooperation,4
67,0.946,Cooperation,5
68,0.994,Cooperation,6
69,0.992,Cooperation,7
70,0.994,Cooperation,8
71,1.0,Cooperation,9
72,1.0,Cooperation,10
73,1.0,Cooperation,11
74,1.0,Cooperation,12
75,1.0,Cooperation,13
76,1.0,Cooperation,14
77,1.0,Cooperation,15
78,1.0,Cooperation,16
79,1.0,Cooperation,17
80,1.0,Cooperation,18
81,1.0,Cooperation,19
82,1.0,Cooperation,20
83,1.0,Cooperation,21
84,1.0,Cooperation,22
85,1.0,Cooperation,23
86,1.0,Cooperation,24
87,1.0,Cooperation,25
88,1.0,Cooperation,26
89,1.0,Cooperation,27
90,1.0,Cooperation,28
91,1.0,Cooperation,29
92,1.0,Cooperation,30
